normalized_rating,original_title,image_url
4,The Hunger Games,https://images.gr-assets.com/books/1447303603m/2767052.jpg
4,Harry Potter and the Philosopher's Stone,https://images.gr-assets.com/books/1474154022m/3.jpg
3,Twilight,https://images.gr-assets.com/books/1361039443m/41865.jpg
4,To Kill a Mockingbird,https://images.gr-assets.com/books/1361975680m/2657.jpg
3,The Great Gatsby,https://images.gr-assets.com/books/1490528560m/4671.jpg
4,The Fault in Our Stars,https://images.gr-assets.com/books/1360206420m/11870085.jpg
4,The Hobbit or There and Back Again,https://images.gr-assets.com/books/1372847500m/5907.jpg
3,The Catcher in the Rye,https://images.gr-assets.com/books/1398034300m/5107.jpg
3,Angels & Demons ,https://images.gr-assets.com/books/1303390735m/960.jpg
4,Pride and Prejudice,https://images.gr-assets.com/books/1320399351m/1885.jpg
4,The Kite Runner ,https://images.gr-assets.com/books/1484565687m/77203.jpg
4,Divergent,https://images.gr-assets.com/books/1328559506m/13335037.jpg
4,Nineteen Eighty-Four,https://images.gr-assets.com/books/1348990566m/5470.jpg
3,Animal Farm: A Fairy Story,https://images.gr-assets.com/books/1424037542m/7613.jpg
4,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,https://images.gr-assets.com/books/1358276407m/48855.jpg
4,Män som hatar kvinnor,https://images.gr-assets.com/books/1327868566m/2429135.jpg
4,Catching Fire,https://images.gr-assets.com/books/1358273780m/6148028.jpg
5,Harry Potter and the Prisoner of Azkaban,https://images.gr-assets.com/books/1499277281m/5.jpg
4, The Fellowship of the Ring,https://images.gr-assets.com/books/1298411339m/34.jpg
4,Mockingjay,https://images.gr-assets.com/books/1358275419m/7260188.jpg
4,Harry Potter and the Order of the Phoenix,https://images.gr-assets.com/books/1387141547m/2.jpg
3,The Lovely Bones,https://images.gr-assets.com/books/1457810586m/12232938.jpg
4,Harry Potter and the Chamber of Secrets,https://images.gr-assets.com/books/1474169725m/15881.jpg
5,Harry Potter and the Goblet of Fire,https://images.gr-assets.com/books/1361482611m/6.jpg
5,Harry Potter and the Deathly Hallows,https://images.gr-assets.com/books/1474171184m/136251.jpg
3,The Da Vinci Code,https://images.gr-assets.com/books/1303252999m/968.jpg
5,Harry Potter and the Half-Blood Prince,https://images.gr-assets.com/books/1361039191m/1.jpg
3,Lord of the Flies ,https://images.gr-assets.com/books/1327869409m/7624.jpg
3,An Excellent conceited Tragedie of Romeo and Juliet,https://images.gr-assets.com/books/1327872146m/18135.jpg
4,Gone Girl,https://images.gr-assets.com/books/1339602131m/8442457.jpg
4,The Help,https://images.gr-assets.com/books/1346100365m/4667024.jpg
3,Of Mice and Men ,https://images.gr-assets.com/books/1437235233m/890.jpg
4,Memoirs of a Geisha,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3,Fifty Shades of Grey,https://images.gr-assets.com/books/1385207843m/10818853.jpg
3,O Alquimista,https://images.gr-assets.com/books/1483412266m/865.jpg
4,The Giver,https://images.gr-assets.com/books/1342493368m/3636.jpg
4,"The Lion, the Witch and the Wardrobe",https://images.gr-assets.com/books/1353029077m/100915.jpg
4,The Time Traveler's Wife,https://images.gr-assets.com/books/1437728815m/14050.jpg
4,A Game of Thrones,https://images.gr-assets.com/books/1436732693m/13496.jpg
3,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",https://images.gr-assets.com/books/1503066414m/19501.jpg
4,The Lightning Thief,https://images.gr-assets.com/books/1400602609m/28187.jpg
4,Little Women,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
4,Jane Eyre,https://images.gr-assets.com/books/1327867269m/10210.jpg
4,The Notebook,https://images.gr-assets.com/books/1385738917m/15931.jpg
3,Life of Pi,https://images.gr-assets.com/books/1320562005m/4214.jpg
4,Water for Elephants,https://images.gr-assets.com/books/1494428973m/43641.jpg
4,The Book Thief,https://images.gr-assets.com/books/1390053681m/19063.jpg
4,Fahrenheit 451,https://images.gr-assets.com/books/1351643740m/4381.jpg
3,"New Moon (Twilight, #2)",https://images.gr-assets.com/books/1361039440m/49041.jpg
4,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,https://images.gr-assets.com/books/1168052448m/30119.jpg
4,City of Bones,https://images.gr-assets.com/books/1432730315m/256683.jpg
3,Eclipse,https://images.gr-assets.com/books/1361038355m/428263.jpg
3,Eragon,https://images.gr-assets.com/books/1366212852m/113436.jpg
4,The Hitchhiker's Guide to the Galaxy,https://images.gr-assets.com/books/1327656754m/11.jpg
4,Brave New World,https://images.gr-assets.com/books/1487389574m/5129.jpg
3,Breaking Dawn,https://images.gr-assets.com/books/1361039438m/1162543.jpg
4,The Secret Life of Bees,https://images.gr-assets.com/books/1473454532m/37435.jpg
3,The Adventures of Huckleberry Finn,https://images.gr-assets.com/books/1405973850m/2956.jpg
4,Charlotte's Web,https://images.gr-assets.com/books/1439632243m/24178.jpg
3,The Curious Incident of the Dog in the Night-Time,https://images.gr-assets.com/books/1479863624m/1618.jpg
3,The Girl on the Train,https://images.gr-assets.com/books/1490903702m/22557272.jpg
4,Northern Lights,https://images.gr-assets.com/books/1451271747m/119322.jpg
3,Wuthering Heights,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
4,My Sister's Keeper,https://images.gr-assets.com/books/1369504683m/10917.jpg
4,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",https://images.gr-assets.com/books/1440319389m/4981.jpg
4,Gone with the Wind,https://images.gr-assets.com/books/1328025229m/18405.jpg
4,A Thousand Splendid Suns,https://images.gr-assets.com/books/1345958969m/128029.jpg
4,The Perks of Being a Wallflower,https://images.gr-assets.com/books/1167352178m/22628.jpg
4,Insurgent,https://images.gr-assets.com/books/1325667729m/11735983.jpg
4,Ender's Game,https://images.gr-assets.com/books/1408303130m/375802.jpg
3,"Frankenstein; or, The Modern Prometheus",https://images.gr-assets.com/books/1381512375m/18490.jpg
4,The Shining,https://images.gr-assets.com/books/1353277730m/11588.jpg
3,The Host,https://images.gr-assets.com/books/1318009171m/1656001.jpg
4,Looking for Alaska,https://images.gr-assets.com/books/1394798630m/99561.jpg
3,,https://images.gr-assets.com/books/1292060045m/227443.jpg
